Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,
FDW58,20.75,Low Fat,0.01,Snack Foods,108,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDW14,8.3,Regular,0.04,Dairy,87,OUT017,2007,NA,Tier 2,Supermarket Type1,
NCN55,14.6,Low Fat,0.10,Others,242,OUT010,1998,NA,Tier 3,Grocery Store,
FDQ58,7.315,Low Fat,0.02,Snack Foods,155,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDY38,NA,Regular,0.12,Dairy,234,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDH56,9.8,Regular,0.06,Fruits and Vegetables,117,OUT046,1997,Small,Tier 1,Supermarket Type1,
FDL48,19.35,Regular,0.08,Baking Goods,50,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDC48,NA,Low Fat,0.02,Baking Goods,81,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDN33,6.305,Regular,0.12,Snack Foods,96,OUT045,2002,NA,Tier 2,Supermarket Type1,
FDA36,5.985,Low Fat,0.01,Baking Goods,187,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDT44,16.6,Low Fat,0.10,Fruits and Vegetables,118,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDQ56,6.59,Low Fat,0.11,Fruits and Vegetables,85,OUT045,2002,NA,Tier 2,Supermarket Type1,
NCC54,NA,Low Fat,0.17,Health and Hygiene,240,OUT019,1985,Small,Tier 1,Grocery Store,
FDU11,4.785,Low Fat,0.09,Breads,122,OUT049,1999,Medium,Tier 1,Supermarket Type1,
DRL59,16.75,Low Fat,0.02,Hard Drinks,52,OUT013,1987,High,Tier 3,Supermarket Type1,
FDM24,6.135,Regular,0.08,Baking Goods,152,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDI57,19.85,Low Fat,0.05,Seafood,199,OUT045,2002,NA,Tier 2,Supermarket Type1,
DRC12,17.85,Low Fat,0.04,Soft Drinks,192,OUT018,2009,Medium,Tier 3,Supermarket Type2,
NCM42,NA,Low Fat,0.03,Household,110,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDA46,13.6,Low Fat,0.20,Snack Foods,194,OUT010,1998,NA,Tier 3,Grocery Store,
FDA31,7.1,Low Fat,0.11,Fruits and Vegetables,175,OUT013,1987,High,Tier 3,Supermarket Type1,
NCJ31,19.2,Low Fat,0.18,Others,240,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDG52,13.65,Low Fat,0.07,Frozen Foods,48,OUT046,1997,Small,Tier 1,Supermarket Type1,
NCL19,NA,Low Fat,0.03,Others,142,OUT019,1985,Small,Tier 1,Grocery Store,
FDS10,19.2,Low Fat,0.04,Snack Foods,181,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDX22,6.785,Regular,0.04,Snack Foods,209,OUT010,1998,NA,Tier 3,Grocery Store,
NCF19,13,Low Fat,0.04,Household,48,OUT035,2004,Small,Tier 2,Supermarket Type1,
NCE06,5.825,Low Fat,0.09,Household,161,OUT046,1997,Small,Tier 1,Supermarket Type1,
DRC27,13.8,Low Fat,0.06,Dairy,245,OUT046,1997,Small,Tier 1,Supermarket Type1,
FDE21,12.8,Low Fat,0.02,Fruits and Vegetables,117,OUT035,2004,Small,Tier 2,Supermarket Type1,
NCR42,NA,Low Fat,0.07,Household,32,OUT019,1985,Small,Tier 1,Grocery Store,
FDX51,9.5,Regular,0.02,Meat,195,OUT018,2009,Medium,Tier 3,Supermarket Type2,
NCR06,12.5,Low Fat,0.01,Household,42,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDU31,NA,Regular,0.02,Fruits and Vegetables,218,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDU59,5.78,Low Fat,0.10,Breads,164,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDR03,NA,Regular,0.01,Meat,205,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDS49,NA,Low Fat,0.08,Canned,80,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDD48,10.395,Low Fat,0.05,Baking Goods,114,OUT010,1998,NA,Tier 3,Grocery Store,
NCF18,18.35,Low Fat,0.09,Household,192,OUT017,2007,NA,Tier 2,Supermarket Type1,
NCD43,NA,Low Fat,0.02,Household,103,OUT027,1985,Medium,Tier 3,Supermarket Type3,
NCD54,21.1,Low Fat,0.03,Household,143,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDY19,19.75,Low Fat,0.07,Fruits and Vegetables,117,OUT010,1998,NA,Tier 3,Grocery Store,
NCY54,8.43,Low Fat,0.18,Household,174,OUT017,2007,NA,Tier 2,Supermarket Type1,
NCL19,15.35,Low Fat,0.02,Others,145,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDP23,6.71,Low Fat,0.06,Breads,217,OUT010,1998,NA,Tier 3,Grocery Store,
FDC26,10.195,Low Fat,0.13,Canned,112,OUT013,1987,High,Tier 3,Supermarket Type1,
FDR14,11.65,Low Fat,0.29,Dairy,56,OUT010,1998,NA,Tier 3,Grocery Store,
NCS41,12.85,Low Fat,0.05,Health and Hygiene,183,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDF41,12.15,Low Fat,0.13,Frozen Foods,248,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDU34,18.25,Low Fat,0.08,Snack Foods,125,OUT046,1997,Small,Tier 1,Supermarket Type1,
DRH11,5.98,Low Fat,0.08,Hard Drinks,57,OUT046,1997,Small,Tier 1,Supermarket Type1,
FDM03,12.65,Low Fat,0.12,Meat,107,OUT013,1987,High,Tier 3,Supermarket Type1,
FDS31,13.1,Regular,0.04,Fruits and Vegetables,181,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDJ20,20.7,Regular,0.10,Fruits and Vegetables,122,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDV44,NA,Regular,0.04,Fruits and Vegetables,189,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDG02,7.855,Low Fat,0.01,Canned,189,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDA09,13.35,Regular,0.00,Snack Foods,180,OUT013,1987,High,Tier 3,Supermarket Type1,
FDT04,17.25,Low Fat,0.11,Frozen Foods,38,OUT013,1987,High,Tier 3,Supermarket Type1,
FDL58,NA,Regular,0.13,Snack Foods,263,OUT019,1985,Small,Tier 1,Grocery Store,
FDE52,10.395,Regular,0.03,Dairy,90,OUT045,2002,NA,Tier 2,Supermarket Type1,
FDW12,8.315,Regular,0.04,Baking Goods,145,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDL51,20.7,Regular,0.05,Dairy,215,OUT017,2007,NA,Tier 2,Supermarket Type1,
NCY42,NA,Low Fat,0.02,Household,141,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDR07,21.35,Low Fat,0.08,Fruits and Vegetables,97,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDN40,5.88,Low Fat,0.09,Frozen Foods,153,OUT045,2002,NA,Tier 2,Supermarket Type1,
FDB35,NA,Regular,0.06,Starchy Foods,90,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDA22,7.435,low fat,0.08,Starchy Foods,166,OUT017,2007,NA,Tier 2,Supermarket Type1,
NCL06,14.65,Low Fat,0.07,Household,263,OUT046,1997,Small,Tier 1,Supermarket Type1,
FDI35,14,Low Fat,0.04,Starchy Foods,181,OUT013,1987,High,Tier 3,Supermarket Type1,
NCW42,18.2,Low Fat,0.06,Household,222,OUT045,2002,NA,Tier 2,Supermarket Type1,
NCX06,17.6,Low Fat,0.02,Household,180,OUT049,1999,Medium,Tier 1,Supermarket Type1,
FDC37,NA,Low Fat,0.03,Baking Goods,108,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDZ14,7.71,Regular,0.05,Dairy,122,OUT018,2009,Medium,Tier 3,Supermarket Type2,
DRG49,7.81,Low Fat,0.07,Soft Drinks,245,OUT049,1999,Medium,Tier 1,Supermarket Type1,
NCG06,16.35,Low Fat,0.03,Household,256,OUT045,2002,NA,Tier 2,Supermarket Type1,
DRC36,13,Regular,0.05,Soft Drinks,174,OUT045,2002,NA,Tier 2,Supermarket Type1,
FDV21,NA,Low Fat,0.30,Snack Foods,125,OUT019,1985,Small,Tier 1,Grocery Store,
FDB53,13.35,Low Fat,0.14,Frozen Foods,149,OUT046,1997,Small,Tier 1,Supermarket Type1,
DRP47,NA,Low Fat,0.25,Hard Drinks,252,OUT019,1985,Small,Tier 1,Grocery Store,
FDA14,16.1,Low Fat,0.07,Dairy,145,OUT013,1987,High,Tier 3,Supermarket Type1,
DRC24,17.85,Low Fat,0.02,Soft Drinks,153,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDW21,5.34,Regular,0.01,Snack Foods,101,OUT018,2009,Medium,Tier 3,Supermarket Type2,
NCH29,5.51,Low Fat,0.03,Health and Hygiene,97,OUT046,1997,Small,Tier 1,Supermarket Type1,
FDU58,6.61,Regular,0.03,Snack Foods,189,OUT013,1987,High,Tier 3,Supermarket Type1,
FDY27,6.38,Low Fat,0.03,Dairy,178,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDV56,16.1,Regular,0.01,Fruits and Vegetables,109,OUT035,2004,Small,Tier 2,Supermarket Type1,
FDT59,13.65,Low Fat,0.02,Breads,231,OUT046,1997,Small,Tier 1,Supermarket Type1,
FDB23,19.2,Regular,0.01,Starchy Foods,226,OUT046,1997,Small,Tier 1,Supermarket Type1,
FDR49,8.71,Low Fat,0.14,Canned,46,OUT045,2002,NA,Tier 2,Supermarket Type1,
FDB03,17.75,Regular,0.26,Dairy,242,OUT010,1998,NA,Tier 3,Grocery Store,
FDN39,19.35,Regular,0.00,Meat,166,OUT045,2002,NA,Tier 2,Supermarket Type1,
FDX02,NA,Low Fat,0.06,Dairy,223,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDQ16,NA,Low Fat,0.04,Frozen Foods,108,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDU35,6.44,Low Fat,0.08,Breads,99,OUT018,2009,Medium,Tier 3,Supermarket Type2,
NCT29,12.6,Low Fat,0.06,Health and Hygiene,122,OUT013,1987,High,Tier 3,Supermarket Type1,
FDZ27,7.935,Low Fat,0.02,Dairy,48,OUT046,1997,Small,Tier 1,Supermarket Type1,
FDN57,18.25,Low Fat,0.05,Snack Foods,140,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDA03,18.5,Regular,0.05,Dairy,146,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDZ36,6.035,Regular,0.07,Baking Goods,186,OUT045,2002,NA,Tier 2,Supermarket Type1,
NCU05,11.8,Low Fat,0.06,Health and Hygiene,81,OUT013,1987,High,Tier 3,Supermarket Type1,
FDT39,6.26,Regular,0.01,Meat,151,OUT018,2009,Medium,Tier 3,Supermarket Type2,
FDK60,16.5,Regular,0.09,Baking Goods,97,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDZ25,15.7,Regular,0.03,Canned,169,OUT017,2007,NA,Tier 2,Supermarket Type1,
FDG12,6.635,Regular,0.01,Baking Goods,122,OUT046,1997,Small,Tier 1,Supermarket Type1,
DRB01,NA,low fat,0.14,Soft Drinks,192,OUT019,1985,Small,Tier 1,Grocery Store,
NCC43,NA,Low Fat,0.09,Household,251,OUT027,1985,Medium,Tier 3,Supermarket Type3,
FDX13,NA,Low Fat,0.08,Canned,249,OUT019,1985,Small,Tier 1,Grocery Store,
